,Fall 2013 Game Schedule,,,,,,,,,,
,,,,,,,,Mound,Base,,
,,Version 3 - 8/30/13,,,,,S&S,35,55,,
,,,,,,,8U,35,55,,
,Notes:,Feyerabend=SS2/8U2 & Santiago = 10UF/13UF6 (bold in time slots),,,,,11US,40,60,,
,,,,,,,14US,46/50,65,,
Sat 9/7,Field 1,Field 2,Field 3,Field 4,Field 5,,19US,50,65,,
,9:00,9:00,9:00,9:00,9:00,,10UF,35,60,,"SS, 8U, 10U works out perfect"
,SS1 vs SS2,SS3 vs SS5,SS4 vs SS6,10UF5 vs 10UF6,13UF3 vs 13UF4,,13UF,40,60,,keep 40 and 43 fast pitch separate
,10:00,10:00,10:00,10:15,10:15,,14F,40/43,60,,pair 35 with the 43
,8U5 vs 8U9,8U3 vs 8U4,11US1 vs 11US3,10UF1 vs 10UF2,13UF5 vs 13UF6,,need to move this to late afternoon,,,,
,11:00,11:00,11:00,11:30,11:30,,,,,,
,8U1 vs 8U2,14F1 vs 14F2,14US1 vs 14US2,10UF3 vs 10UF4,13UF1 vs 13UF2,,,,,,
,12:00,12:15,12:00,12:45,12:45,,,,,,
,8U7 vs 8U8,14F3 vs 14F4,,10UF7 vs 10UF8,,,,*ok to do 2 weekday games,,,
,,,,,,,"*uses Monday, fill in 2nd game slot",,,,
Mon 9/9,Field 1,Field 2,Field 3,Field 4,Field 5,,*SS & 8U first slot only worries,,,,
,6:15,6:15,6:15,6:15,6:15,,*14 and up focus on 8:30 slots if needed,,,,
,8U6 vs 8U7,8U2 vs 8U9,SS5 vs SS6,10UF5 vs 10UF7,10UF2 vs 10UF4,,*7:15 ok for 19US and double headers ok,,,,
,7:15,7:15,7:15,7:30,7:30,,"*concession duty, 19S doesn't get it",,,,
,13UF2 vs 13UF3,13UF1 vs 13UF7,14US2 vs 14US3,14F2 vs 14F4,14F1 vs 14F3,,*try to save SS for tournament since they don't play,,,,
,,,,,,,*avoid doing it when people play,,,,
Tue 9/10,Field 1,Field 2,Field 3,Field 4,Field 5,,*concession duty wants to know right now so make that a priority,,,,
,6:15,6:15,6:15,6:15,6:15,,,get Saturday games posted and first week of concession game,,,
,8U5 vs 8U7,8U2 vs 8U4,SS1 vs SS3,10UF6 vs 10UF8,11US2 vs 11US3,,,,,,
,7:15,7:15,7:15,7:30,7:15,,,,,,
,13UF4 vs 13UF6,14US1 vs 14US3,,10UF1 vs 10UF3,19US1 vs 19US2,,,,,,
,8:30,8:15,8:15,8:30,8:15,,,,,,
,,,,,19US1 vs 19US3,,,,,,
,,,,,,,,,,,
Thu 9/12,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U4 vs 8U8,8U1 vs 8U3,SS2 vs SS4,11US1 vs 11US2,10UF1 vs 10UF6,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF1 vs 13UF4,13UF2 vs 13UF7,,19US2 vs 19US3,13UF3 vs 13UF5,,,,,,
,,,,,,,,,,,
Sat 9/14,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,
,SS1 vs SS4,SS2 vs SS5,SS3 vs SS6,13UF2 vs 13UF4,10UF5 vs 10UF8,,,,,,
,10:00,10:00,10:00,10:15,10:15,,,,,,
,8U1 vs 8U4,8U3 vs 8U6,11US2 vs 11US3,13UF5 vs 13UF7,10UF6 vs 10UF7,,,,,,
,11:00,11:00,11:00,11:30,11:30,,,,,,
,8U2 vs 8U5,14F1 vs 14F4,14US2 vs 14US3,13UF1 vs 13UF3,10UF1 vs 10UF4,,,,,,
,12:00,12:15,12:00,12:45,12:45,,,,,,
,8U8 vs 8U9,14F2 vs 14F3,,,10UF2 vs 10UF3,,x,,,,
,,,,,,,,,,,
Mon 9/16,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U6 vs 8U9,8U2 vs 8U3,SS4 vs SS5,10UF3 vs 10UF7,10UF4 vs 10UF8,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,
,14US2 vs 14US3,13UF3vs 13UF7,,14F3 vs 14F4,14F1 vs 14F2,,,,,,
,,,,,,,,,,,
Tue 9/17,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U4 vs 8U7,8U5 vs 8U8,SS1 vs SS6,11US1 vs 11US2,10UF1 vs 10UF5,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF1 vs 13UF5,13UF2 vs 13UF6,14US1 vs 14US3,19US1 vs 19US3,10UF2 vs 10UF6,,,,,,
,8:30,8:30,8:15,8:15,8:45,,,,,,
,,,19US2 vs 19US3,,,,,,,,
,,,,,,,,,,,
Thu 9/19,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U3 vs 8U7,8U6 vs 8U8,SS2 vs SS3,11US2 vs 11US3,10UF4 vs 10UF5,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF1 vs 13UF6,14US1 vs 14US2,,19US1 vs 19US2,13UF4 vs 13UF7,,,,,,
,,,,,,,,,,,
Sat 9/21,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,
,SS1 vs SS5,SS2 vs SS6,SS3 vs SS4,13UF1 vs 13UF4,10UF4 vs 10UF7,,,,,,
,10:00,10:00,10:00,10:15,10:15,,,,,,
