,Spring 2013 Season Schedule,,,,
,,,,,
,,Version 12 - 4/22/13,,,
,,Home Team is listed first - use 1st base duggout,,,
,,,,,
Sat 3/9,Con 8:30-12:30,10UF6,Con 12:30-4:30,8U1,
,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs. SS2,SS3 vs. SS4,SS5 vs. SS6,SRS1 vs. SRS2,SRS3 vs. SRS4
,10:00,10:00,10:00,10:00,10:00
,11US3 vs. 11US4,12UF3 vs. 12UF4,14UF1 vs. 14UF2,10UF10 vs. 10UF3,8U1 vs. 8U2
,11:15,11:30,11:30,11:15,11:15
,11US1 vs. 11US2,12UF1 vs. 12UF2,14UF3 vs. 14UF4,10UF11 vs. 10UF7,8U3 vs. 8U4
,12:30,1:00,1:00,12:30,12:30
,14US1 vs. 14US2,12UF5 vs. 12UF6,14UF5 vs. 14UF6,10UF9 vs. 10UF2,15F7 vs. 15F1
,2:00,2:30,2:30,1:45,2:00
,14US3 vs. 14US4,8U11 vs. 8U12,8U9 vs. 8U10,10UF1 vs. 10UF6,
,3:30,3:45,3:45,3:00,3:30
,,8U7 vs. 8U8,8U5 vs. 8U6,10UF4 vs. 10UF5,
,,,,,
Wed 3/13,Con,12UF2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS2 vs. SS3,SS6 vs. SS1,SS4 vs. SS5,8U8 vs. 8U9,10UF4 vs. 10UF8
,7:15,7:15,7:15,7:15,7:15
,14UF2 vs. 14UF3,14UF4 vs. 14UF5,11US2 vs. 11US3,14US5 vs. 14US1,10UF3 vs. 10UF5
,8:30,8:30,8:30,8:30,8:30
,19US1 vs. 19US2,19US3 vs. 19US4,19US5 vs. 19US6,15F4 vs. 15F5,
,,,,,
Thu 3/14,Con,8U7,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SRS2 vs. SRS3,8U2 vs. 8U3,8U12 vs. 8U8,8U10 vs. 8U11,10UF6 vs. 10UF8
,7:15,7:15,7:15,7:15,7:15
,14US2 vs. 14US3,11US4 vs. 11US1,14UF6 vs. 14UF1,14US4 vs. 14US1,10UF11 vs. 10UF1
,8:30,8:30,8:30,8:30,8:30
,19US2 vs. 19US3,19US6 vs. 19US1,19US4 vs. 19US5,15F4 vs. 15F6,15F2 vs. 15F3
,,,,,
Fri 3/15,Con,,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,7:15,7:15,7:15,7:15,7:15
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,8:30,8:30,8:30,8:30,8:30
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,,,,,
,,,,,
Sat 3/16,Con 8:30-12:30,,Con 12:40-4:30,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,,,,,
Sun 3/17,Con 8:30-12:00,,Con 12:00-3:30,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament,Closed - Tournament
,,,,,
Tue 3/19,Con,11US2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SRS2 vs. SRS1,8U12 vs. 8U1,8U2 vs. 8U13,10UF3 vs. 10UF9,8U3 vs. 8U5
,7:15,7:15,7:15,7:15,7:15
,12UF3 vs. 12UF1,12UF4 vs. 12UF6,12UF5 vs. 12UF2,10UF6 vs. 10UF11,15F2 vs. 15F4
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Wed 3/20,Con,14US2,,,
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SRS4 vs. SRS1,8U13 vs. 8U1,8U4 vs. 8U5,10UF2 vs. 10UF4,8U6 vs. 8U7
,7:15,7:15,7:15,7:15,7:15
,12UF2 vs. 12UF3,12UF6 vs. 12UF1,12UF4 vs. 12UF5,10UF9 vs. 10UF6,15F5 vs. 15F6
,8:30,8:30,8:30,8:30,8:30
,,,,,
,,,,,
Thu 3/21,Con,10UF4,,,
