,Fall 2014 Game Schedule,,,,
,,,,,
,,Version 1 - 9/02/14,,,
,,,,,
Sat 9/6,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,8U1 vs 8U2,8U5 vs 8U6,8U7 vs 8U8,SS5 vs SS6,SS1 vs SS2
,10:00,10:00,10:00,10:00,10:00
,10UF7 vs 10UF8,14F3vs 14F4,13UF1 vs 13UF2,8U3 vs 8U4,SS3 vs SS4
,11:15,11:15,11:15,11:00,11:00
,10UF9 vs 10UF10,,13UF3 vs 13UF4,13UF5 vs 13UF6,12US1 vs 12US2
,12:30,12:15,12:30,12:15,12:00
,10UF3 vs 10UF5,,10UF1 vs 10UF2,12US3 vs 12US4,14F1 vs 14F2
,1:45,1:30,1:45,1:15,1:15
,10UF4 vs 10UF6,,,,
,,,,,
Mon 9/8,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS1 vs SS3,12US1 vs 12US4,8U9 vs 8U1,8U2 vs 8U4,10UF5 vs 10UF10
,7:15,7:15,7:15,7:15,7:30
,,12US2 vs 12US3,13UF7 vs 13UF6,19US1 vs 19US2,19US3 vs 19US4
,8:15,8:15,8:30,8:15,8:45
,,,,,
,,,,,
Tue 9/9,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS2 vs SS5,SS6 vs SS4,8U6 vs 8U8,10UF6 vs 10UF8,8U3 vs 8U5
,7:15,7:15,7:15,7:30,7:15
,,10UF1 vs 10UF3,13UF1 vs 13UF3,13UF4 vs 13UF5,10UF4 vs 10UF2
,8:30,8:30,8:15,8:45,8:45
,,14F2 vs 14F4,,,
,,,,,
Wed 9/10,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,,,,,
,7:15,7:15,7:15,7:30,7:30
,,,,,
,8:15,8:30,8:15,8:45,8:45
,,,,,
,,,,,
Thu 9/11,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U7 vs 8U4,10UF9 vs 10UF7,13UF6 vs 13UF2,,
,7:15,7:30,7:30,7:30,7:30
,19US1 vs 19US3,19US2 vs 19US4,14F1 vs 14F3,,
,8:30,8:30,8:15,8:45,8:45
,,,,,
,,,,,
Sat 9/13,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,10:30,10:30,10:30,10:30,10:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,12:00,12:00,12:00,12:00,12:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,1:30,1:30,1:30,1:30,1:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,3:00,3:00,3:00,3:00,3:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,,,,,
,,,,,
Mon 9/15,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,7:15,7:15,7:15,7:15,7:15
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,8:30,8:30,8:30,8:30,8:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,,,,,
Tue 9/16,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,7:15,7:15,7:15,7:15,7:15
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,8:30,8:30,8:30,8:30,8:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,,,,,
Wed 9/17,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,7:15,7:15,7:15,7:15,7:15
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,8:30,8:30,8:30,8:30,8:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,,,,,
Thu 9/18,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,7:15,7:15,7:15,7:15,7:15
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,8:30,8:30,8:30,8:30,8:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,,,,,
Sat 9/20,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,10:30,10:30,10:30,10:30,10:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,12:00,12:00,12:00,12:00,12:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,1:30,1:30,1:30,1:30,1:30
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
,3:00,3:00,3:00,3:00,3:00
,Fall Break,Fall Break,Fall Break,Fall Break,Fall Break
