,Fall 2013 Game Schedule,,,,
,,,,,
,,Version 5 - 9/1/13,,,
,,,,,
,Notes: Feyerabend=SS2/8U2 & Santiago = 10UF/13UF6 (bold in time slots),,,,
,,,,,
Sat 9/7,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs SS2,SS3 vs SS5,SS4 vs SS6,10UF5 vs 10UF6,13UF3 vs 13UF4
,10:00,10:00,10:00,10:15,10:15
,8U5 vs 8U9,8U3 vs 8U4,11US1 vs 11US3,10UF1 vs 10UF2,13UF5 vs 13UF6
,11:00,11:00,11:00,11:30,11:30
,8U1 vs 8U2,14F1 vs 14F2,14US1 vs 14US2,10UF3 vs 10UF4,13UF1 vs 13UF2
,12:00,12:15,12:00,12:45,12:45
,8U7 vs 8U8,14F3 vs 14F4,,10UF7 vs 10UF8,
,,,,,
Mon 9/9,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U6 vs 8U7,8U9 vs 8U2,SS5 vs SS6,10UF5 vs 10UF7,10UF2 vs 10UF4
,7:15,7:15,7:15,7:30,7:30
,13UF2 vs 13UF3,13UF1 vs 13UF7,14US2 vs 14US3,14F2 vs 14F4,14F1 vs 14F3
,,,,,
Tue 9/10,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U5 vs 8U7,8U2 vs 8U4,SS1 vs SS3,10UF6 vs 10UF8,11US2 vs 11US3
,7:15,7:15,7:15,7:30,7:15
,13UF4 vs 13UF6,14US1 vs 14US3,,10UF1 vs 10UF3,19US1 vs 19US2
,8:30,8:15,8:15,8:30,8:15
,,,,,19US1 vs 19US3
,,,,,
Thu 9/12,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U4 vs 8U8,8U1 vs 8U3,SS2 vs SS4,11US1 vs 11US2,10UF1 vs 10UF6
,7:15,7:15,7:15,7:15,7:30
,13UF1 vs 13UF4,13UF2 vs 13UF7,,19US2 vs 19US3,13UF3 vs 13UF5
,,,,,
Sat 9/14,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs SS4,SS2 vs SS5,SS3 vs SS6,13UF2 vs 13UF4,10UF5 vs 10UF8
,10:00,10:00,10:00,10:15,10:15
,8U1 vs 8U4,8U6 vs 8U3,11US3 vs 11US2,13UF5 vs 13UF7,10UF6 vs 10UF7
,11:00,11:00,11:00,11:30,11:30
,8U2 vs 8U5,14F1 vs 14F4,14US3 vs 14US2,13UF1 vs 13UF3,10UF1 vs 10UF4
,12:00,12:15,12:00,12:45,12:45
,8U8 vs 8U9,14F2 vs 14F3,,,10UF2 vs 10UF3
,,,,,
Mon 9/16,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U6 vs 8U9,8U2 vs 8U3,SS4 vs SS5,10UF3 vs 10UF7,10UF4 vs 10UF8
,7:15,7:15,7:15,7:30,7:30
,14US2 vs 14US3,13UF3 vs 13UF7,,14F4 vs 14F3,14F2 vs 14F1
,,,,,
Tue 9/17,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U4 vs 8U7,8U5 vs 8U8,SS1 vs SS6,11US2 vs 11US1,10UF1 vs 10UF5
,7:15,7:15,7:15,7:15,7:30
,13UF1 vs 13UF5,13UF2 vs 13UF6,14US3 vs 14US1,19US3 vs 19US1,10UF2 vs 10UF6
,8:30,8:30,8:15,8:15,8:45
,,,19US3 vs 19US2,,
,,,,,
Thu 9/19,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U3 vs 8U7,8U6 vs 8U8,SS2 vs SS3,11US2 vs 11US3,10UF4 vs 10UF5
,7:15,7:15,7:15,7:15,7:30
,13UF1 vs 13UF6,14US2 vs 14US1,,19US2 vs 19US1,13UF4 vs 13UF7
,,,,,
Sat 9/21,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs SS5,SS2 vs SS6,SS3 vs SS4,13UF4 vs 13UF1,10UF7 vs 10UF4
,10:00,10:00,10:00,10:15,10:15
,8U1 vs 8U8,8U3 vs 8U5,11US3 vs 11US1,13UF2 vs 13UF5,10UF3 vs 10UF8
,,,,,
Mon 9/23,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U1 vs 8U6,8U2 vs 8U8,SS4 vs SS6,10UF1 vs 10UF7,10UF4 vs 10UF6
,7:15,7:15,7:15,7:30,7:30
,13UF7 vs 13UF2,11US3 vs 11US2,14US1 vs 14US2,14F4 vs 14F1,14F3 vs 14F2
,,,,,
Tue 9/24,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U7 vs 8U3,8U9 vs 8U1,SS1 vs SS2,11US1 vs 11US2,10UF8 vs 10UF2
,7:15,7:15,7:15,7:15,7:30
,13UF4 vs 13UF5,14US3 vs 14US2,,19US2 vs 19US3,10UF3 vs 10UF5
,8:30,8:15,8:15,8:15,8:45
,,,,19US1 vs 19US2,
,,,,,
Wed 9/25,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,,6:15,6:15
,8U2 vs 8U6,8U7 vs 8U9,,10UF2 vs 10UF5,10UF6 vs 10UF1
,7:15,7:15,,7:30,7:30
,14US1 vs 14US3,14F3 vs 14F1,,13UF6 vs 13UF7,14F4 vs 14F2
,,,,,
Thu 9/26,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U4 vs 8U1,8U9 vs 8U4,SS3 vs SS5,11US1 vs 11US3,14F1 vs 14F3
,7:15,7:15,7:15,7:15,7:30
,13UF3 vs 13UF6,14US3 vs 14US1,,19US1 vs 19US3,14F2 vs 14F4
,,,,,
Sat 9/28,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1 vs SS3,SS2 vs SS4,SS5 vs SS6,13UF7 vs 13UF4,10UF2 vs 10UF7
,10:00,10:00,10:00,10:15,10:15
