,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Sat 2/9,9:00 AM,SS1 SS2 SS3,SRS1 SRS2 SRS3,8U3 8U4,10UF1 10UF2,SS4 SS5 SS6,FP Travel,FP Travel,FP Travel
,10:30 AM,11US3 11US4,11US1 11US2,8U1 8U2,10UF3 10UF4,SRS4 8U13,FP Travel,FP Travel,FP Travel
,12:00 PM,14UF1 14UF2,14US1 14US2,8U5 8U6,10UF5 10UF6,15F1,12UF1 12UF2,15F5,
,1:30 PM,14UF3 14UF4,14US3 14US4,8U7 8U8,10UF7 10UF8,15F2,12UF3 12UF4,15F6,
,3:00 PM,14UF5 14UF6,14US5,8U9 8U10,10UF9 10UF10,15F3,12UF5 12UF6,,
,4:30 PM,,,8U11 8U12,10UF11,15F4,,,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Mon 2/11,6:00 PM,12UF1 12UF2,8U4 8U5 8U6,8U1 8U2 8U3,8U12 8U13,10UF5 10UF6,FP Travel,FP Travel,11US1 11US2
,7:15 PM,12UF3 12UF4,14UF1 14UF2,14UF3 14UF4,10UF1 10UF2,15F2,FP Travel,FP Travel,14UF5 14UF6
,8:30 PM,19US1,19US2,19US3,15F1,15F3,,FP Travel,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Tue 2/12,6:00 PM,12UF5 12UF5,8U8 8U10 8U11,8U7 8U9 SRS4,10UF8 10UF9 ,10UF10 10UF11,FP Travel,FP Travel,FP Travel
,7:15 PM,14US1,14US2 14US3,14US4 14US5,10UF7,15F4,FP Travel,FP Travel,FP Travel
,8:30 PM,19US4,19US5 ,19US6,15F5,15F6,FP Travel,FP Travel,FP Travel
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Wed 2/13,6:00 PM,12UF3 12UF4,8U4 8U5 8U6,8U1 8U2 8U3,10UF3 10UF4,10UF5 10UF6,FP Travel,FP Travel,11US3 11US4
,7:15 PM,12UF1 12UF2,14UF1 14UF2,14UF3 14UF4,10UF1 10UF2,15F1,FP Travel,FP Travel,14UF5 14UF6
,8:30 PM,19US1,19US2,19US3,15F2,15F3,,FP Travel,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Thu 2/14,6:00 PM,12UF6 12UF5,SRS1 SRS2 SRS3,8U7 8U8 SRS4,10UF8 10UF9 ,10UF7 10UF11,FP Travel,FP Travel,FP Travel
,7:15 PM,14US1,14US2 14US3,14US4 14US5,10UF10,15F5,FP Travel,FP Travel,FP Travel
,8:30 PM,19US4,19US5 ,19US6,15F4,15F6,FP Travel,FP Travel,FP Travel
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Fri 2/15,6:00 PM,11US3 11US4,11US1 11US2,8U9 8U10 8U11,10UF3 10UF4,SRS1 SRS2 SRS3,8U12 8U13,SS1 SS2 SS3,SS4 SS5 SS6
,7:15 PM,,,,,,,,
,8:30 PM,,,,,,,,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Sat 2/16,9:00 AM,SS1 SS2 SS3,SRS1 SRS2 SRS3,8U11 8U10,10UF11 10UF10,SS4 SS5 SS6,FP Travel,FP Travel,FP Travel
,10:30 AM,11US3 11US4,11US1 11US2,8U9 8U8,10UF9 10UF8,SRS4 8U12,FP Travel,FP Travel,FP Travel
,12:00 PM,14UF1 14UF2,14US5 14US2,8U7 8U6,10UF7 10UF6,15F1,12UF4 12UF2,15F5,
,1:30 PM,14UF3 14UF4,14US3 14US4,8U5 8U4,10UF5 10UF4,15F2,12UF3 12UF1,15F6,
,3:00 PM,14UF5 14UF6,14US1,8U1 8U3,10UF3 10UF2,15F3,12UF5 12UF6,,
,4:30 PM,,,8U2 8U13,10UF1,15F4,,,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Mon 2/18,6:00 PM,12UF5 12UF6,12UF1 12UF2,8U9 8U8 SRS2,8U12 8U13,10UF7 10UF6,FP Travel,FP Travel,SRS1 SRS4 SRS3
,7:15 PM,14US1,14US2 14US3,14US4 14US5,10UF9 10UF8,15F3,FP Travel,FP Travel,14UF3 14UF4
,8:30 PM,19US4,19US5 ,19US6,15F4,15F5,,FP Travel,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Tue 2/19,6:00 PM,11US1 11US2,12UF3 12UF4,8U1 8U2 8U3,10UF5 10UF4,10UF3 10UF1,FP Travel,FP Travel,FP Travel
,7:15 PM,14UF1 14UF2,12UF1 12UF2,14UF5 14UF6,10UF2,15F6,FP Travel,FP Travel,FP Travel
,8:30 PM,19US1,19US2,19US3,15F2,15F1,FP Travel,FP Travel,FP Travel
,,,,,,,,,
