,Spring 2012 Season Schedule

,,Version 5 - 3/13/12
,,Home Team is listed first

Sat 3/3,ALL GAMES RAINED OUT

Mon 3/5,Con,10US1
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS2 VS. SS3,SS6 VS. SS1,SS4 VS. SS5,10UF9 VS. 10UF2,8U4 VS. 8U5
,7:15,7:15,7:15,7:15,7:15
,10US4 VS. 10US5,12UF7 VS. 12UF1,12UF2 VS. 12UF3,10UF6 VS. 10UF3,12UF4 VS. 12UF5
,8:30,8:30,8:30,8:30,8:30
,19US1 VS. 19US2,19US3 VS. 19US4,19US5 VS. 19US6,19US7 VS. 19US8

Tue 3/6,Con,10UF9
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SRSS6 VS. SRSS1,SRSS4 VS. SRSS5,SRSS2 VS. SRSS3,8U14 VS. 8U1,8U12 VS. 8U13
,7:15,7:15,7:15,7:15,7:15
,14US4 VS. 14US1,14UF4 VS. 14UF5,14UF7 VS. 14UF1,15F5 VS. 15F1,14UF2 VS. 14UF3
,8:30,8:30,8:30,8:30,8:30
,14US2 VS. 14US3,,,15F2 VS. 15F3

Wed 3/7,Con,12UF4
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,SS1 VS. SS2,SS3 VS. SS4,8U3 VS. 8U4,10UF7 VS. 10UF8,8U1 VS. 8U2
,7:15,7:15,7:15,7:15,7:15
,10US3 VS. 10US4,10US1 VS. 10US2,12UF2 VS. 12UF7*,10UF5 VS. 10UF6,12US3 VS. 12US4
,8:30,8:30,8:30,8:30,8:30
,14US1 VS. 14US4,,14UF2 VS. 14UF7*

Thu 3/8,Con,12UF7
,Field 1,Field 2,Field 3,Field 4,Field 5
,6:15,6:15,6:15,6:15,6:15
,8U6 VS. 8U7,8U8 VS. 8U9,8U10 VS. 8U11,10UF4 VS. 10UF1,8U2 VS. 8U3
,7:15,7:15,7:15,7:15,7:15
,10US2 VS. 10US3,10US4 VS. 10US1,12US4 VS. 12US1,10UF5 VS. 10UF7,12US2 VS. 12US3
,8:30,8:30,8:30,8:30,8:30
,19US2 VS. 19US3,,19US8 VS. 19US5,19US6 VS. 19US7

Fri 3/9,ALL GAMES RAINED OUT

Sat 3/10,Con 8:30-12:00,12UF2 VS. 12UF4,Con 12:00-3:30,8U2
,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6
,9:00,9:00,9:00,9:00,9:00,9:00
,SS1 VS. SS5,SRSS1 VS. SRSS5,8U12 VS. 8U2,10UF2 VS. 10UF3,8U1 VS. 8U3
,10:00,10:00,10:00,10:15,10:00,10:30
,SS2 VS. SS4,SRSS2 VS. SRSS4,12US1 VS. 12US3,10UF8 VS. 10UF5,8U4 VS. 8U6
,11:00,11:00,11:30,11:30,11:00,12:00
,SS3 VS. SS6,SRSS3 VS. SRSS6,12US2 VS. 12US4,,8U14 VS. 8U9
,12:00,12:00,1:00,12:45,12:00
,14US1 VS. 14US3,12UF6 VS. 12UF7,10US2 VS. 10US5,10UF4 VS. 10UF9,8U5 VS. 8U7
,1:30,1:30,2:00,2:00,1:00
,14US2 VS. 14US4,12UF1 VS. 12UF3,10US1 VS. 10US3,15F4 VS. 15F1,8U10 VS. 8U8
,3:00,3:00,3:00,3:30,2:00
,14UF6 VS. 14UF7,12UF2 VS. 12UF4,14UF1 VS. 14UF3,15F2 VS. 15F5,8U11 VS. 8U13
,,,,,3:00
,,,,,14UF2 VS. 14UF4

Sun 3/11,Con
,Field 1,Field 2,Field 3,Field 4,Field 5
,2:00,2:00,2:00,2:00,2:00
,,8U7 VS. 8U8,8U13 VS. 8U14,,8U9 VS. 8U10
,3:00,3:00,3:00,3:15,3:00
,,10US5 VS. 10US1*,8U5 VS. 8U6,,8U11 VS. 8U12

Mon 3/12,Con,12US1
,Field 1,Field 2,Field 3,Field 4,Field 5
